type_code,index
1,2
101,3
102,4
103,5
104,6
11,7
12,8
13,9
14,10
2,11
201,12
202,13
203,14
21,15
22,16
23,17
3,18
301,19
302,20
303,21
31,22
32,23
33,24
4,25
