group_code,index
1,2
11,3
12,4
13,5
3,6
31,7
32,8
4,9
51,10
52,11
53,12
54,13
55,14
56,15
57,16
58,17
61,18
62,19
63,20
64,21
65,22
66,23
67,24
71,25
72,26
73,27
74,28
75,29
76,30
77,31
78,32
79,33
80,34
81,35
82,36
83,37
84,38
85,39
86,40
87,41
88,42
89,43
